,Title,Topic Label,Accetpance,Difficulty,Frequency
292,292. Nim Game,"['Math', 'Brainteaser', 'Game Theory']",56.1%,Easy,28.4826%;
293,293. Flip Game,['String'],63.2%,Easy,0%;
294,294. Flip Game II,"['Math', 'Dynamic Programming', '3+']",51.9%,Medium,27.3577%;
295,295. Find Median from Data Stream,"['Two Pointers', 'Design', 'Sorting', '2+']",51.5%,Hard,77.4245%;
296,296. Best Meeting Point,"['Array', 'Math', 'Sorting', '1+']",60.1%,Hard,50.5546%;
297,297. Serialize and Deserialize Binary Tree,"['String', 'Tree', 'Depth-First Search', '3+']",55.3%,Hard,60.6355%;
298,298. Binary Tree Longest Consecutive Sequence,"['Tree', 'Depth-First Search', 'Binary Tree']",52.7%,Medium,11.174%;
299,299. Bulls and Cows,"['Hash Table', 'String', 'Counting']",49.3%,Medium,41.7727%;
300,300. Longest Increasing Subsequence,"['Array', 'Binary Search', '1+']",52.0%,Medium,66.9327%;
301,301. Remove Invalid Parentheses,"['String', 'Backtracking', '1+']",47.2%,Hard,51.3659%;
302,302. Smallest Rectangle Enclosing Black Pixels,"['Array', 'Binary Search', '3+']",58.4%,Hard,20.3521%;
303,303. Range Sum Query - Immutable,"['Array', 'Design', 'Prefix Sum']",59.3%,Easy,36.1696%;
304,304. Range Sum Query 2D - Immutable,"['Array', 'Design', 'Matrix', '1+']",52.7%,Medium,38.3233%;
305,305. Number of Islands II,"['Array', 'Union Find']",39.6%,Hard,37.6083%;
306,306. Additive Number,"['String', 'Backtracking']",31.0%,Medium,42.7635%;
307,307. Range Sum Query - Mutable,"['Array', 'Design', '2+']",40.7%,Medium,31.4958%;
308,308. Range Sum Query 2D - Mutable,"['Array', 'Design', '3+']",42.8%,Hard,40.5994%;
309,309. Best Time to Buy and Sell Stock with Cooldown,"['Array', 'Dynamic Programming']",56.2%,Medium,62.4107%;
310,310. Minimum Height Trees,"['Depth-First Search', '3+']",38.5%,Medium,43.5384%;
311,311. Sparse Matrix Multiplication,"['Array', 'Hash Table', 'Matrix']",67.3%,Medium,63.3494%;
312,312. Burst Balloons,"['Array', 'Dynamic Programming']",57.0%,Hard,66.3889%;
313,313. Super Ugly Number,"['Array', 'Math', 'Dynamic Programming']",45.5%,Medium,24.0559%;
314,314. Binary Tree Vertical Order Traversal,"['Hash Table', 'Tree', '3+']",52.3%,Medium,65.9877%;
315,315. Count of Smaller Numbers After Self,"['Array', 'Binary Search', '5+']",42.6%,Hard,45.042%;
316,316. Remove Duplicate Letters,"['String', 'Stack', 'Greedy', '1+']",44.9%,Medium,62.7225%;
317,317. Shortest Distance from All Buildings,"['Array', 'Breadth-First Search', 'Matrix']",42.6%,Hard,55.6192%;
318,318. Maximum Product of Word Lengths,"['Array', 'String', 'Bit Manipulation']",59.9%,Medium,47.8697%;
319,319. Bulb Switcher,"['Math', 'Brainteaser']",48.3%,Medium,53.5314%;
320,320. Generalized Abbreviation,"['String', 'Backtracking', 'Bit Manipulation']",57.6%,Medium,14.8423%;
321,321. Create Maximum Number,"['Stack', 'Greedy', 'Monotonic Stack']",29.1%,Hard,27.0092%;
322,322. Coin Change,"['Array', 'Dynamic Programming', '1+']",42.0%,Medium,83.0444%;
323,323. Number of Connected Components in an Undirected Graph,"['Depth-First Search', '3+']",62.2%,Medium,42.7187%;
324,324. Wiggle Sort II,"['Array', 'Divide and Conquer', '2+']",33.3%,Medium,32.3805%;
325,325. Maximum Size Subarray Sum Equals k,"['Array', 'Hash Table', 'Prefix Sum']",49.2%,Medium,18.8906%;
326,326. Power of Three,"['Math', 'Recursion']",45.5%,Easy,38.9377%;
327,327. Count of Range Sum,"['Array', 'Binary Search', '5+']",36.0%,Hard,51.8803%;
328,328. Odd Even Linked List,['Linked List'],61.2%,Medium,76.493%;
329,329. Longest Increasing Path in a Matrix,"['Array', 'Dynamic Programming', '6+']",52.4%,Hard,63.782%;
330,330. Patching Array,"['Array', 'Greedy']",40.2%,Hard,51.6477%;
331,331. Verify Preorder Serialization of a Binary Tree,"['String', 'Stack', 'Tree', '1+']",44.6%,Medium,31.2614%;
332,332. Reconstruct Itinerary,"['Depth-First Search', 'Graph', '1+']",41.2%,Hard,65.6921%;
333,333. Largest BST Subtree,"['Dynamic Programming', 'Tree', '3+']",42.8%,Medium,29.4712%;
334,334. Increasing Triplet Subsequence,"['Array', 'Greedy']",42.7%,Medium,77.3306%;
335,335. Self Crossing,"['Array', 'Math', 'Geometry']",29.4%,Hard,34.3338%;
336,336. Palindrome Pairs,"['Array', 'Hash Table', 'String', '1+']",35.0%,Hard,77.0334%;
337,337. House Robber III,"['Dynamic Programming', 'Tree', '2+']",53.9%,Medium,44.4239%;
338,338. Counting Bits,"['Dynamic Programming', 'Bit Manipulation']",75.7%,Easy,40.7811%;
339,339. Nested List Weight Sum,"['Depth-First Search', '1+']",82.3%,Medium,65.0644%;
340,340. Longest Substring with At Most K Distinct Characters,"['Hash Table', 'String', 'Sliding Window']",48.0%,Medium,58.556%;
341,341. Flatten Nested List Iterator,"['Stack', 'Tree', 'Depth-First Search', '3+']",61.8%,Medium,62.5179%;
342,342. Power of Four,"['Math', 'Bit Manipulation', 'Recursion']",46.1%,Easy,24.9978%;
343,343. Integer Break,"['Math', 'Dynamic Programming']",55.9%,Medium,30.5812%;
344,344. Reverse String,"['Two Pointers', 'String']",76.7%,Easy,62.2792%;
345,345. Reverse Vowels of a String,"['Two Pointers', 'String']",50.0%,Easy,72.9416%;
346,346. Moving Average from Data Stream,"['Array', 'Design', 'Queue', '1+']",77.1%,Easy,60.5811%;
347,347. Top K Frequent Elements,"['Array', 'Hash Table', '6+']",64.3%,Medium,68.7667%;
348,348. Design Tic-Tac-Toe,"['Array', 'Hash Table', 'Design', '1+']",57.6%,Medium,52.9712%;
349,349. Intersection of Two Arrays,"['Array', 'Hash Table', 'Two Pointers', '2+']",70.8%,Easy,66.4329%;
350,350. Intersection of Two Arrays II,"['Array', 'Hash Table', 'Two Pointers', '2+']",55.9%,Easy,52.0482%;
351,351. Android Unlock Patterns,"['Dynamic Programming', 'Backtracking']",51.5%,Medium,15.5482%;
352,352. Data Stream as Disjoint Intervals,"['Binary Search', 'Design', 'Ordered Set']",59.7%,Hard,64.0978%;
353,353. Design Snake Game,"['Array', 'Design', 'Queue', '1+']",39.2%,Medium,72.1901%;
354,354. Russian Doll Envelopes,"['Array', 'Binary Search', '2+']",38.0%,Hard,56.2068%;
355,355. Design Twitter,"['Hash Table', 'Linked List', 'Design', '1+']",37.2%,Medium,49.5738%;
356,356. Line Reflection,"['Array', 'Hash Table', 'Math']",34.8%,Medium,68.1224%;
357,357. Count Numbers with Unique Digits,"['Math', 'Dynamic Programming', '1+']",51.8%,Medium,35.3119%;
358,358. Rearrange String k Distance Apart,"['Hash Table', 'String', 'Greedy', '3+']",37.7%,Hard,23.0875%;
359,359. Logger Rate Limiter,"['Hash Table', 'Design']",75.6%,Easy,69.7666%;
360,360. Sort Transformed Array,"['Array', 'Math', 'Two Pointers', '1+']",55.0%,Medium,41.5973%;
361,361. Bomb Enemy,"['Array', 'Dynamic Programming', 'Matrix']",51.3%,Medium,20.6735%;
362,362. Design Hit Counter,"['Array', 'Hash Table', '3+']",68.4%,Medium,77.1935%;
363,363. Max Sum of Rectangle No Larger Than K,"['Array', 'Binary Search', 'Matrix', '2+']",44.0%,Hard,54.1111%;
364,364. Nested List Weight Sum II,"['Stack', 'Depth-First Search', '1+']",66.6%,Medium,26.7549%;
365,365. Water and Jug Problem,"['Math', 'Depth-First Search', '1+']",37.4%,Medium,73.8182%;
366,366. Find Leaves of Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",80.3%,Medium,59.6251%;
367,367. Valid Perfect Square,"['Math', 'Binary Search']",43.3%,Easy,48.8915%;
368,368. Largest Divisible Subset,"['Array', 'Math', '2+']",41.5%,Medium,58.8242%;
369,369. Plus One Linked List,"['Linked List', 'Math']",61.0%,Medium,13.5957%;
370,370. Range Addition,"['Array', 'Prefix Sum']",71.1%,Medium,52.2824%;
371,371. Sum of Two Integers,"['Math', 'Bit Manipulation']",50.7%,Medium,55.933%;
372,372. Super Pow,"['Math', 'Divide and Conquer']",36.5%,Medium,41.9789%;
373,373. Find K Pairs with Smallest Sums,"['Array', 'Heap (Priority Queue)']",38.3%,Medium,38.3636%;
374,374. Guess Number Higher or Lower,"['Binary Search', 'Interactive']",51.8%,Easy,63.9119%;
375,375. Guess Number Higher or Lower II,"['Math', 'Dynamic Programming', '1+']",46.8%,Medium,32.1209%;
376,376. Wiggle Subsequence,"['Array', 'Dynamic Programming', 'Greedy']",48.3%,Medium,23.6617%;
377,377. Combination Sum IV,"['Array', 'Dynamic Programming']",52.2%,Medium,26.4972%;
378,378. Kth Smallest Element in a Sorted Matrix,"['Array', 'Binary Search', 'Sorting', '2+']",61.8%,Medium,31.8791%;
379,379. Design Phone Directory,"['Array', 'Hash Table', 'Linked List', '2+']",51.2%,Medium,43.0099%;
380,380. Insert Delete GetRandom O(1),"['Array', 'Hash Table', 'Math', '2+']",52.8%,Medium,92.1406%;
381,381. Insert Delete GetRandom O(1) - Duplicates allowed,"['Array', 'Hash Table', 'Math', '2+']",35.5%,Hard,43.0896%;
382,382. Linked List Random Node,"['Linked List', 'Math', '2+']",62.7%,Medium,30.5575%;
383,383. Ransom Note,"['Hash Table', 'String', 'Counting']",58.1%,Easy,59.392%;
384,384. Shuffle an Array,"['Array', 'Math', 'Randomized']",57.8%,Medium,44.1301%;
385,385. Mini Parser,"['String', 'Stack', 'Depth-First Search']",36.9%,Medium,11.174%;
386,386. Lexicographical Numbers,"['Depth-First Search', 'Trie']",61.5%,Medium,50.1433%;
387,387. First Unique Character in a String,"['Hash Table', 'String', 'Queue', '1+']",59.5%,Easy,71.6179%;
388,388. Longest Absolute File Path,"['String', 'Stack', 'Depth-First Search']",46.6%,Medium,15.386%;
389,389. Find the Difference,"['Hash Table', 'String', '2+']",60.0%,Easy,39.079%;
390,390. Elimination Game,"['Math', 'Recursion']",46.2%,Medium,58.7358%;
391,391. Perfect Rectangle,"['Array', 'Line Sweep']",32.8%,Hard,28.6705%;
392,392. Is Subsequence,"['Two Pointers', 'String', '1+']",47.7%,Easy,56.4628%;
393,393. UTF-8 Validation,"['Array', 'Bit Manipulation']",45.1%,Medium,60.8439%;
394,394. Decode String,"['String', 'Stack', 'Recursion']",57.8%,Medium,87.5292%;
395,395. Longest Substring with At Least K Repeating Characters,"['Hash Table', 'String', '2+']",44.8%,Medium,54.9293%;
396,396. Rotate Function,"['Array', 'Math', 'Dynamic Programming']",41.1%,Medium,63.3349%;
397,397. Integer Replacement,"['Dynamic Programming', 'Greedy', '2+']",35.2%,Medium,29.5452%;
398,398. Random Pick Index,"['Hash Table', 'Math', '2+']",62.6%,Medium,9.10025%;
399,399. Evaluate Division,"['Array', 'Depth-First Search', '4+']",59.6%,Medium,67.4245%;
400,400. Nth Digit,"['Math', 'Binary Search']",34.1%,Medium,50.3716%;
401,401. Binary Watch,"['Backtracking', 'Bit Manipulation']",52.2%,Easy,31.4073%;
402,402. Remove K Digits,"['String', 'Stack', 'Greedy', '1+']",30.6%,Medium,60.8879%;
403,403. Frog Jump,"['Array', 'Dynamic Programming']",43.2%,Hard,55.9024%;
404,404. Sum of Left Leaves,"['Tree', 'Depth-First Search', '2+']",56.7%,Easy,31.5896%;
405,405. Convert a Number to Hexadecimal,"['Math', 'Bit Manipulation']",46.7%,Easy,39.246%;
406,406. Queue Reconstruction by Height,"['Array', 'Greedy', '3+']",72.9%,Medium,43.7328%;
407,407. Trapping Rain Water II,"['Array', 'Breadth-First Search', '2+']",47.6%,Hard,58.0135%;
408,408. Valid Word Abbreviation,"['Two Pointers', 'String']",34.8%,Easy,37.6083%;
409,409. Longest Palindrome,"['Hash Table', 'String', 'Greedy']",54.3%,Easy,41.6226%;
410,410. Split Array Largest Sum,"['Array', 'Binary Search', '2+']",53.5%,Hard,71.4087%;
411,411. Minimum Unique Word Abbreviation,"['String', 'Backtracking', 'Bit Manipulation']",39.4%,Hard,39.1672%;
412,412. Fizz Buzz,"['Math', 'String', 'Simulation']",69.8%,Easy,93.6861%;
413,413. Arithmetic Slices,"['Array', 'Dynamic Programming']",65.1%,Medium,50.5849%;
414,414. Third Maximum Number,"['Array', 'Sorting']",33.1%,Easy,40.226%;
415,415. Add Strings,"['Math', 'String', 'Simulation']",52.5%,Easy,53.4712%;
416,416. Partition Equal Subset Sum,"['Array', 'Dynamic Programming']",46.3%,Medium,61.243%;
417,417. Pacific Atlantic Water Flow,"['Array', 'Depth-First Search', '2+']",54.4%,Medium,48.8357%;
418,418. Sentence Screen Fitting,"['String', 'Dynamic Programming', '1+']",35.6%,Medium,29.3886%;
419,419. Battleships in a Board,"['Array', 'Depth-First Search', 'Matrix']",74.8%,Medium,58.4319%;
420,420. Strong Password Checker,"['String', 'Greedy', 'Heap (Priority Queue)']",13.8%,Hard,58.1532%;
421,421. Maximum XOR of Two Numbers in an Array,"['Array', 'Hash Table', '2+']",54.1%,Medium,49.3593%;
422,422. Valid Word Square,"['Array', 'Matrix']",39.9%,Easy,1.3064%;
423,423. Reconstruct Original Digits from English,"['Hash Table', 'Math', 'String']",51.3%,Medium,62.5179%;
424,424. Longest Repeating Character Replacement,"['Hash Table', 'String', 'Sliding Window']",51.8%,Medium,63.395%;
425,425. Word Squares,"['Array', 'String', 'Backtracking', '1+']",52.8%,Hard,19.4164%;
426,426. Convert Binary Search Tree to Sorted Doubly Linked List,"['Linked List', 'Stack', 'Tree', '4+']",64.6%,Medium,35.5829%;
427,427. Construct Quad Tree,"['Array', 'Divide and Conquer', 'Tree', '1+']",74.5%,Medium,77.2364%;
428,428. Serialize and Deserialize N-ary Tree,"['String', 'Tree', 'Depth-First Search', '1+']",65.9%,Hard,58.7358%;
429,429. N-ary Tree Level Order Traversal,"['Tree', 'Breadth-First Search']",70.7%,Medium,23.1026%;
430,430. Flatten a Multilevel Doubly Linked List,"['Linked List', 'Depth-First Search', '1+']",59.6%,Medium,72.9727%;
431,431. Encode N-ary Tree to Binary Tree,"['Tree', 'Depth-First Search', '3+']",78.9%,Hard,0%;
432,432. All O`one Data Structure,"['Hash Table', 'Linked List', 'Design', '1+']",36.6%,Hard,58.8522%;
433,433. Minimum Genetic Mutation,"['Hash Table', 'String', '1+']",52.3%,Medium,79.3094%;
434,434. Number of Segments in a String,['String'],37.2%,Easy,24.215%;
435,435. Non-overlapping Intervals,"['Array', 'Dynamic Programming', '2+']",50.2%,Medium,46.3669%;
436,436. Find Right Interval,"['Array', 'Binary Search', 'Sorting']",50.7%,Medium,20.0045%;
437,437. Path Sum III,"['Tree', 'Depth-First Search', 'Binary Tree']",48.1%,Medium,50.4792%;
438,438. Find All Anagrams in a String,"['Hash Table', 'String', 'Sliding Window']",50.2%,Medium,66.316%;
439,439. Ternary Expression Parser,"['String', 'Stack', 'Recursion']",58.4%,Medium,20.3521%;
440,440. K-th Smallest in Lexicographical Order,['Trie'],31.1%,Hard,51.2582%;
441,441. Arranging Coins,"['Math', 'Binary Search']",46.2%,Easy,46.7325%;
442,442. Find All Duplicates in an Array,"['Array', 'Hash Table']",73.5%,Medium,67.3831%;
443,443. String Compression,"['Two Pointers', 'String']",52.1%,Medium,77.7278%;
444,444. Sequence Reconstruction,"['Array', 'Graph', 'Topological Sort']",26.7%,Medium,0%;
445,445. Add Two Numbers II,"['Linked List', 'Math', 'Stack']",59.6%,Medium,57.0014%;
446,446. Arithmetic Slices II - Subsequence,"['Array', 'Dynamic Programming']",46.7%,Hard,57.1323%;
447,447. Number of Boomerangs,"['Array', 'Hash Table', 'Math']",54.9%,Medium,40.7349%;
448,448. Find All Numbers Disappeared in an Array,"['Array', 'Hash Table']",59.9%,Easy,46.2043%;
449,449. Serialize and Deserialize BST,"['String', 'Tree', 'Depth-First Search', '4+']",57.0%,Medium,47.8697%;
450,450. Delete Node in a BST,"['Tree', 'Binary Search Tree', 'Binary Tree']",50.3%,Medium,43.8626%;
451,451. Sort Characters By Frequency,"['Hash Table', 'String', 'Sorting', '3+']",70.0%,Medium,60.3809%;
452,452. Minimum Number of Arrows to Burst Balloons,"['Array', 'Greedy', 'Sorting']",55.3%,Medium,80.4486%;
453,453. Minimum Moves to Equal Array Elements,"['Array', 'Math']",56.0%,Medium,60.6077%;
454,454. 4Sum II,"['Array', 'Hash Table']",57.2%,Medium,45.2524%;
455,455. Assign Cookies,"['Array', 'Two Pointers', 'Greedy', '1+']",50.0%,Easy,53.5632%;
456,456. 132 Pattern,"['Array', 'Binary Search', 'Stack', '2+']",32.4%,Medium,39.0639%;
457,457. Circular Array Loop,"['Array', 'Hash Table', 'Two Pointers']",32.6%,Medium,31.2377%;
458,458. Poor Pigs,"['Math', 'Dynamic Programming', '1+']",63.0%,Hard,31.8564%;
459,459. Repeated Substring Pattern,"['String', 'String Matching']",43.7%,Easy,34.8284%;
460,460. LFU Cache,"['Hash Table', 'Linked List', 'Design', '1+']",43.0%,Hard,81.5507%;
461,461. Hamming Distance,['Bit Manipulation'],75.0%,Easy,31.5274%;
462,462. Minimum Moves to Equal Array Elements II,"['Array', 'Math', 'Sorting']",60.1%,Medium,40.9293%;
463,463. Island Perimeter,"['Array', 'Depth-First Search', '2+']",69.7%,Easy,47.9516%;
464,464. Can I Win,"['Math', 'Dynamic Programming', '4+']",29.7%,Medium,44.3744%;
465,465. Optimal Account Balancing,"['Array', 'Dynamic Programming', '3+']",49.2%,Hard,53.5314%;
466,466. Count The Repetitions,"['String', 'Dynamic Programming']",29.4%,Hard,40.7349%;
467,467. Unique Substrings in Wraparound String,"['String', 'Dynamic Programming']",38.5%,Medium,21.7064%;
468,468. Validate IP Address,['String'],26.6%,Medium,62.1151%;
469,469. Convex Polygon,"['Math', 'Geometry']",38.8%,Medium,50.0961%;
470,470. Implement Rand10() Using Rand7(),"['Math', 'Rejection Sampling', '2+']",46.4%,Medium,37.905%;
471,471. Encode String with Shortest Length,"['String', 'Dynamic Programming']",50.6%,Hard,39.1672%;
472,472. Concatenated Words,"['Array', 'String', '3+']",50.1%,Hard,74.6478%;
473,473. Matchsticks to Square,"['Array', 'Dynamic Programming', '3+']",40.2%,Medium,37.4822%;
474,474. Ones and Zeroes,"['Array', 'String', 'Dynamic Programming']",46.7%,Medium,35.9857%;
475,475. Heaters,"['Array', 'Two Pointers', '2+']",36.4%,Medium,40.7349%;
476,476. Number Complement,['Bit Manipulation'],67.3%,Easy,27.0643%;
477,477. Total Hamming Distance,"['Array', 'Math', 'Bit Manipulation']",52.1%,Medium,12.9237%;
478,478. Generate Random Point in a Circle,"['Math', 'Geometry', '2+']",39.6%,Medium,26.561%;
479,479. Largest Palindrome Product,['Math'],32.0%,Hard,52.4167%;
480,480. Sliding Window Median,"['Array', 'Hash Table', '2+']",41.4%,Hard,52.2013%;
481,481. Magical String,"['Two Pointers', 'String']",50.7%,Medium,19.4164%;
482,482. License Key Formatting,['String'],43.3%,Easy,26.4477%;
483,483. Smallest Good Base,"['Math', 'Binary Search']",38.6%,Hard,40.7349%;
484,484. Find Permutation,"['Array', 'String', 'Stack', '1+']",66.9%,Medium,0%;
485,485. Max Consecutive Ones,['Array'],56.5%,Easy,39.9572%;
486,486. Predict the Winner,"['Array', 'Math', '3+']",51.1%,Medium,58.3071%;
487,487. Max Consecutive Ones II,"['Array', 'Dynamic Programming', '1+']",49.6%,Medium,47.8697%;
488,488. Zuma Game,"['String', 'Dynamic Programming', '2+']",34.0%,Hard,49.0476%;
489,489. Robot Room Cleaner,"['Backtracking', 'Interactive']",76.6%,Hard,62.0103%;
490,490. The Maze,"['Depth-First Search', '2+']",55.7%,Medium,55.8623%;
491,491. Non-decreasing Subsequences,"['Array', 'Hash Table', 'Backtracking', '1+']",60.1%,Medium,77.9687%;
492,492. Construct the Rectangle,['Math'],54.6%,Easy,24.4699%;
493,493. Reverse Pairs,"['Array', 'Binary Search', '5+']",30.9%,Hard,59.1531%;
494,494. Target Sum,"['Array', 'Dynamic Programming', '1+']",45.7%,Medium,49.8959%;
495,495. Teemo Attacking,"['Array', 'Simulation']",56.9%,Easy,17.0289%;
496,496. Next Greater Element I,"['Array', 'Hash Table', 'Stack', '1+']",71.4%,Easy,61.405%;
497,497. Random Point in Non-overlapping Rectangles,"['Array', 'Math', 'Binary Search', '4+']",39.4%,Medium,0%;
498,498. Diagonal Traverse,"['Array', 'Matrix', 'Simulation']",58.3%,Medium,45.6348%;
499,499. The Maze III,"['Depth-First Search', '4+']",47.3%,Hard,24.6832%;
500,500. Keyboard Row,"['Array', 'Hash Table', 'String']",69.5%,Easy,32.7447%;
501,501. Find Mode in Binary Search Tree,"['Tree', 'Depth-First Search', '2+']",49.2%,Easy,30.5812%;
502,502. IPO,"['Array', 'Greedy', 'Sorting', '1+']",49.7%,Hard,79.6385%;
503,503. Next Greater Element II,"['Array', 'Stack', 'Monotonic Stack']",63.2%,Medium,63.3607%;
504,504. Base 7,['Math'],48.4%,Easy,18.1128%;
505,505. The Maze II,"['Depth-First Search', '4+']",52.5%,Medium,18.9207%;
506,506. Relative Ranks,"['Array', 'Sorting', 'Heap (Priority Queue)']",60.3%,Easy,50.7565%;
507,507. Perfect Number,['Math'],37.6%,Easy,28.5168%;
508,508. Most Frequent Subtree Sum,"['Hash Table', 'Tree', '2+']",64.8%,Medium,15.5482%;
509,509. Fibonacci Number,"['Math', 'Dynamic Programming', '2+']",69.7%,Easy,72.2063%;
510,510. Inorder Successor in BST II,"['Tree', 'Binary Search Tree', 'Binary Tree']",61.0%,Medium,40.0071%;
511,511. Game Play Analysis I,['Database'],76.1%,Easy,53.1284%;
